"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"187",1000,0.145705687191226,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"188",1000,0.161054680431576,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"189",1000,0.163260349067332,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"190",1000,0.154382917335518,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"191",1000,0.139694535382377,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"192",1000,0.0946987326850607,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"193",1000,0.0825096543152979,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"194",1000,0.147241266185617,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"195",1000,0.132134451277149,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"196",1000,0.132394385546132,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"197",1000,-0.0432360414381783,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"198",1000,-0.0247040714520772,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"199",1000,-0.0520174437813135,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"200",1000,-0.0438832568163177,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"201",1000,-0.0192198025704859,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"202",1000,-0.0202217838066813,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"203",1000,-0.016415676091157,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"204",1000,0.0918432054256031,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"205",1000,0.110219661150042,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"206",1000,0.0474490955187983,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"207",1000,0.0695806735991737,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"208",1000,0.0667065381926789,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"209",1000,0.0874131047655637,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"210",1000,0.0895356538810358,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
